Symbol,DateID,Open,High,Low,Close,Volume,Adj Close,2
AMZN,20151006,545.5,551.5,533.330017,537.47998,4502800,537.47998,
AMZN,20151007,541.789978,542,529,541.940002,3788800,541.940002,
AMZN,20151008,536.710022,539.390015,519.890015,533.159973,4649000,533.159973,
AMZN,20151009,534.47998,541.789978,530.27002,539.799988,3527200,539.799988,
AMZN,20151010,539.960022,550.820007,539.799988,550.190002,2761100,550.190002,
AMZN,20151011,546.26001,553.200012,543.099976,548.900024,2737100,548.900024,
AMZN,20151012,551.340027,552.25,539.679993,544.830017,3561100,544.830017,
AMZN,20151013,547.75,563,547,562.440002,4914600,562.440002,
AMZN,20151014,565.27002,570.940002,560.309998,570.76001,4218100,570.76001,
AMZN,20151015,570.76001,579,567.380005,573.150024,4326300,573.150024,
AMZN,20151016,572,573,555.280029,560.880005,4327900,560.880005,
AMZN,20151017,563.869995,565.25,552.52002,555.77002,3343600,555.77002,
AMZN,20151018,562.700012,569.150024,556.669983,563.909973,7250500,563.909973,
AMZN,20151019,617.679993,619.450012,595.359985,599.030029,10671600,599.030029,
AMZN,20151020,602.299988,609.849976,596.289978,608.609985,4259300,608.609985,
AMZN,20151021,608.599976,614.710022,605.530029,611.01001,3721400,611.01001,
AMZN,20151022,612.299988,617.22998,609.5,617.099976,3911900,617.099976,
AMZN,20151023,617.700012,627.539978,615.390015,626.549988,3858600,626.549988,
AMZN,20151024,626.01001,630.719971,625.280029,625.900024,3840400,625.900024,
AMZN,20151025,627.130005,628.630005,620.409973,628.349976,2792500,628.349976,
AMZN,20151026,629.530029,629.890015,622,625.309998,3242400,625.309998,
AMZN,20151027,627.76001,645.929993,627.349976,640.950012,4831800,640.950012,
AMZN,20151028,647.099976,657,643.090027,655.650024,4707400,655.650024,
ANCB,20151029,22.24,22.290001,22.059999,22.290001,1900,22.290001,
ANCB,20151030,22.219999,22.469999,22.16,22.469999,3700,22.469999,
ANCB,20151031,22.469999,22.469999,22.469999,22.469999,100,22.469999,
ANCB,20151101,22.469999,22.469999,22.469999,22.469999,100,22.469999,
ANCB,20151102,22.48,22.889999,22.280001,22.889999,13200,22.889999,
ANCB,20151103,22.799999,23.42,22.799999,23.18,6000,23.18,
ANCB,20151104,23.24,23.25,23.219999,23.25,1300,23.25,
ANCB,20151105,23.25,23.25,23.25,23.25,0,23.25,
ANCB,20151106,23,23,22.809999,22.809999,2800,22.809999,
ANCB,20151107,22.85,22.85,22.26,22.780001,3700,22.780001,
ANCB,20151108,22.85,22.85,22.379999,22.379999,2200,22.379999,
ANCB,20151109,22.629999,22.84,22.389999,22.389999,500,22.389999,
ANCB,20151110,22.379999,22.379999,22.379999,22.379999,200,22.379999,
ANCB,20151111,22.84,23.27,22.6,22.76,65400,22.76,
ANCB,20151112,23,23.33,22.48,22.92,45900,22.92,
ANCB,20151113,23,24,22.75,23.299999,11600,23.299999,
ANCB,20151114,24.4,24.4,23.1,23.5,4900,23.5,
ANCB,20151115,23.99,23.99,23.469999,23.469999,700,23.469999,
ANCB,20151116,23.51,24,23.51,23.99,2400,23.99,
ANCB,20151117,23.85,25.43,23.85,25,10700,25,
ANCB,20151118,26.940001,26.940001,24.620001,24.809999,5200,24.809999,
ANCB,20151119,24.74,24.77,24.57,24.67,1100,24.67,
ANCB,20151120,24.52,24.99,24.5,24.74,5600,24.74,
ATOS,20151121,0.76,0.77,0.75,0.76,67700,0.76,
ATOS,20151122,0.77,0.77,0.73,0.73,161100,0.73,
ATOS,20151123,0.73,0.76,0.73,0.76,74800,0.76,
ATOS,20151124,0.75,0.77,0.75,0.77,44800,0.77,
ATOS,20151125,0.77,0.82,0.73,0.79,69600,0.79,
